drug_name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
phenylephrine,-0.3280544723673222,-0.36609545554222367,-0.6188922123749865,-0.20898493021362957,-0.24993512184053937,-0.4061248418632472,-0.15862524833821157,0.062186329407386415,0.12500620400824727,0.010334631167928899,0.08129870172663954,-0.17366959520753017,-0.12808130661776182,-0.4152437529035927,-0.18974904500199596,-0.5446321616922466,0.10694283401454209,0.9692711528198789,-0.5912899066257186,-0.3435024674123571,-0.656182863024494,0.18179291199625905,-0.2114974124380433,-1.1379944205430605,0.16336329301244124,1.3377316087199633,-0.1777621614706292,-0.4483755969281763,0.6811607219315458,-0.600923730822918,-0.6750600864429571,0.3790238446633915,-0.5467694714775483,-0.30034184171522144,-0.25509253220985073,-0.09787268008881508,-0.3377015466937506,0.40649085516734945,0.049497026977148556,0.5780928671700271
oxymetazoline,-0.3332510939382532,-0.3661089801161598,-0.5282718754332415,-0.5918291487936488,-0.49409368583561303,-0.2846039396586775,-0.07199929598817588,0.050843524592381686,-0.6445558542344968,-0.37162118260908744,-0.03044560620501192,-0.21154918613648838,0.09721345361649744,-0.6053221749264047,-0.06485696298592337,-0.19475396586140642,-0.12443191777821583,-0.16133342593520045,0.21605877607862117,0.11674921386611802,-0.3748887129493302,-0.04218059278573255,-0.08892042004285497,-0.007264352956112901,-0.08218793429170297,-0.39040105318631363,-0.2716415764367769,-0.01957666583199491,-0.015172880493088747,0.23231386239093485,-0.05185892992804445,-0.3549695889942841,-0.08767030393298997,-0.05357358778021866,-0.3206066220796078,0.04098206181540414,0.6045715289950028,-0.303008780587043,0.06414310657829772,0.1341233967067058
xylometazoline,-0.33028093695654026,-0.3569371618196202,-0.522985349314684,-0.5759805784043589,-0.4851232156511481,-0.27691273738991246,-0.0690675033146979,0.04565760508405073,-0.6152796334345613,-0.3524140448416691,-0.03253016309616044,-0.26038607657523816,0.09739882254638943,-0.6092717363648751,-0.03915475242327309,-0.1731722296015761,-0.12407797445051365,-0.17571879918011465,0.17814186377059962,0.06632255910735922,-0.3158126473470181,-0.06679717407203323,-0.04581585022599638,-0.15353891594379607,-0.07111625292419281,-0.41270044673826617,-0.24461241050822813,-0.014387783014421196,-0.028119583136383384,0.25924812220452353,-0.06116255812376281,-0.34103373718755026,-0.14851045843404262,-0.03502162223793817,-0.36124332544149534,0.0010511313806834408,0.565634120950727,-0.17041222592022265,0.11199224656249561,-0.03144829435350538
DRONEDARONE,-0.3360206685719511,-0.3710217692734591,-0.5505995078412866,-0.5905371935804079,-0.4614469120228743,-0.2898489912564782,-0.08458845348688798,0.09002931717702074,-0.6109467472694092,-0.29556466080007904,-0.07177167470782969,-0.2721520686253549,0.12871139055665204,-0.621492512191781,-0.05498592943462954,-0.19803036082330389,-0.12266225192747476,-0.1517214332985798,0.2026312837583307,0.09131326269745492,-0.36372983584560625,-0.06067507637664008,-0.08591076826447956,-0.23662187682313524,-0.06686041865970244,-0.41366074640738293,-0.3588445808315617,0.08120492305079385,0.029280333237274334,0.1483609982856782,-0.1214825111073057,-0.36183007775121245,-0.1865952575336232,-0.037300472762230454,-0.3814039555824947,-0.018851381209409317,0.5371490661808546,-0.13938802399492473,0.1932547319024435,0.03362047349521077
phenoxybenzamine,-0.3453145427719983,-0.39184799987076685,-0.5807620185412278,-0.6114977998831089,-0.5121900018643615,-0.32726481317900596,-0.09052105473289165,0.051513162586529916,-0.6814301014169294,-0.3794688866923106,-0.02580426601661522,-0.2297960918928033,0.0963137905034466,-0.6059655551938077,-0.0056046241733028156,-0.19933547938275092,-0.14175244503791806,0.07418604922142029,0.3555476651320359,-0.013089608611405831,-0.205491275061193,-0.031311482948298365,-0.006151688808858587,-0.09611897470203759,-0.1463315554331369,-0.43807008080886,-0.36739264782018405,-0.09818802959706291,0.03395427498782556,0.19158273743997623,-0.09558433185110884,-0.3286916088730392,-0.05698365824294031,-0.14209344063027712,-0.24951708546638152,0.1796923887312434,0.5233517493862522,-0.22375905444530378,0.18774953341590706,-0.045993039725295094
tizanidine,-0.3324490971569038,-0.36588723443763344,-0.5262410036641769,-0.6029023622389407,-0.500118966956811,-0.2770171349382261,-0.06110810456081006,0.06285104300356596,-0.6502071447119618,-0.37685851962462275,-0.025062752227573412,-0.25115203789586243,0.09844706115684591,-0.6390435473545697,-0.048669478661369656,-0.18859414519730552,-0.12130412626860526,-0.13836057231016546,0.281646041089536,0.11942154809168298,-0.4297890575099893,-0.07006766963786072,-0.0882824427724441,0.20039391468366094,-0.07645947672822426,-0.34975699037050667,-0.3061237134739741,-0.04754641807702515,-0.009839003897386067,0.2442794496385334,-0.007913614298008628,-0.3784490622833418,-0.13599291097277644,-0.039970184604206926,-0.34486679030153494,-0.006717163068873707,0.6068337148110623,-0.2908487722691848,0.10382659442540675,-0.0026839227719715818
EPINEPHRINE,-0.3780986865741454,-0.4368540008638057,-0.4367409633100931,-0.03044787189808774,1.043023487063837,-0.30942470279214407,-0.13588077748972258,1.5897401524044363,-0.4181163595987723,-0.173758681779237,0.317113800893467,-0.1804887733215653,-0.5607327913186576,-0.017795695244143393,1.1729543505685356,-0.21290702145273843,0.36547496516816674,0.7986602539573472,1.006226958087799,-0.19837557539863854,0.1345391964066305,0.7053527923170826,-0.3372981098083531,0.01289860130166504,-0.04363568834823588,-0.7698091900888794,-0.4147748814040998,-0.8946783878990325,0.9989674360796424,-0.7309239446218374,-0.04135877382764967,0.13379758231891561,2.7947518075457674,0.2985095264141614,-0.9514101360115922,-1.1995035478292069,-0.6406662314927691,1.2444494243923818,-0.6162820642366061,-0.28501660035690063
norepinephrine,-0.3695275426965464,-0.44401772501165016,-0.681549015900052,-0.6858832674401453,-0.4991925418057837,-0.39193559658699634,-0.1132738645298082,0.1681746028163857,-0.7995411163094504,0.002593110496203135,-0.2709047048102316,-0.02653577772263359,0.11695708927943423,-0.7680231382471571,0.24254689658208142,-0.2407723474452322,-0.1850125612666674,0.9048690885931074,1.117622910869628,-0.2882833647270046,-0.03494687917080517,-0.47087860939776477,0.03947876039965362,0.11525326031324712,-0.24684786495959482,-0.6771506027097557,-0.6188631315084753,-0.18712202513419302,0.12577541168918216,0.3621931506547227,0.195488674925417,-0.3714179985928403,-0.39214141286192894,-0.16122931661565404,-0.5503350926665095,-0.1741245041792258,0.8653563540415764,-0.1923185177136358,-0.07254594078079632,-0.2356273321639832
AMINOGLUTETHIMIDE,-0.35325297961533436,-0.394390372858303,-0.6236274680336883,-0.5814412574702762,-0.372393524977158,-0.356020079323602,-0.13255625753996275,0.4009497195160661,-0.37354350691766897,-0.3793148610378189,0.011908154911823895,-0.31895453421766656,0.17044478118350187,-0.7477074025646614,-0.026398144983981374,-0.26697132004060137,-0.05434165704754708,-0.022547822722202016,0.3041559657110242,0.09258367607812557,-0.32285839658747223,0.0702874466487597,-0.086573096493733,-0.34293182679295203,0.0054912173269585874,-0.718804428228687,-0.44325968964376733,-0.6248073112883878,0.09823950593486078,0.33895930125755025,0.0441881172015563,-0.6704299031007204,0.20632838602948805,-0.5183044262270831,0.42098657764656805,0.9404147002900424,0.3689665701572795,-0.22989964300271604,0.38148549314529623,-0.7489075876400164
MICONAZOLE,-0.3422952858891874,-0.37608944463664395,-0.5308802970370614,-0.5864734352743786,-0.47766225329832107,-0.2991532144110723,-0.05461638921683101,0.02652578196239655,-0.6040491040233719,-0.32792893510124915,-0.06485371380756681,-0.3109124468655655,0.1486960111207864,-0.5688692918895636,-0.08158249715282327,-0.23300875460678488,-0.1084458125094991,-0.09166666020446966,0.02134373089015453,0.10166131633101062,-0.3332366453143475,0.09187131983839188,-0.043048784767367315,-0.30317003605213866,-0.026750849901123596,-0.37728966309909395,-0.18733111241013217,-0.23860142545847213,0.2667485948084813,-0.4663960038201216,-0.5093796489907048,0.2560691971365554,-0.5545217271377304,-0.13006936837319114,-0.2788098658971083,0.02662279496800333,0.4769310999986902,-0.13165610309456346,0.31447735733197324,0.007144751218047967
